疒	ab
丁	ad
㇆	ae
乛	ae
	ae
⺄	ae
㇗	ae
乚	ae
ヿ	ae
ㄋ	ae
ㄅ	ae
	ae
丰	af
	af
龶	af
	af
缶	af
	af
鬼	ag
乙	ai
六	al
耒	al
门	am
皿	am
片	ap
爿	ap
丬	ap
	ap
	ap
	ap
舌	as
	as
未	aw
弓	bg
乂	bi
㐅	bi
	bi
彐	bj
	bj
	bj
彑	bj
	bj
	bk
	bk
卵	bl
卯	bm
	bm
面	bm
女	bn
氏	bs
聿	bv
肀	bv
	bv
	bv
	bv
云	by
	by
不	cb
虫	cc
	cc
飞	cf
古	cg
火	ch
	ch
	ch
	ch
灬	ch
支	ci
及	cj
尸	cs
	cs
	cs
业	cy
口	dk
〇	dk
里	dl
民	dm
黾	dm
无	du
旡	du
由	dy
干	eg
见	ej
木	em
朩	em
欠	eq
彡	es
	es
𠂉	et
穴	ex
	ex
也	ey
㡀	fb
辰	fc
骨	fg
冎	fg
一	fi
㇀	fi
且	fq
示	fs
礻	fs
亡	fw
亾	fw
歹	gd
歺	gd
	gd
高	gg
	gg
	gg
	gg
句	gj
丨	gs
亅	gs
士	gs
土	gt
韦	gw
羊	gy
⺷	gy
⺶	gy
	gy
芈	gy
八	hb
丷	hb
	hb
䒑	hb
	hb
癶	hb
	hb
夫	hf
谷	hg
	hg
子	hi
夂	hi
夊	hi
	hi
攵	hp
攴	hp
壴	hu
	hu
心	hx
忄	hx
⺗	hx
册	ic
	ic
	ic
丶	id
㇏	id
艮	ig
	ig
丩	ij
立	il
	il
舟	io
糸	is
纟	is
予	iv
乡	ix
幺	iy
斗	jd
亼	ji
亽	ji
仑	jl
侖	jl
人	jr
亻	jr
豕	js
	js
入	ju
寸	kc
亥	kh
㠯	ki
九	kj
母	km
水	ks
氵	ks
⺍	ks
	ks
氺	ks
	ks
	ks
	ks
厶	ks
龴	ks
	ks
毋	ku
毌	ku
艹	lc
廾	lc
丌	lc
艸	lc
齿	lc
而	le
方	lf
廿	ln
龷	ln
千	lq
生	ls
卅	ls
	ls
夕	lx
卌	lx
牙	ly
巴	mb
大	md
二	me
光	mg
	mg
户	mh
	mh
豸	mi
冂	mk
凵	mk
⺆	mk
	mk
	mk
两	ml
犬	mq
犭	mq
石	ms
甫	nf
鬲	ng
黄	nh
勹	nk
匚	nk
	nk
コ	nk
马	nm
十	ns
𠂇	ns
	ns
戊	nu
	nu
戉	nu
王	nw
辛	nx
贝	ob
川	oc
	oc
	oc
巛	oc
巜	oc
自	oi
几	oj
⺇	oj
	oj
日	or
曰	or
⺜	or
	or
矢	os
尤	oy
尢	oy
长	pc
镸	pc
刀	pd
〢	pd
刂	pd
リ	pd
	pd
	pd
	pd
	pd
儿	pe
	pe
	pe
	pe
戈	pg
	pg
黑	ph
	ph
弋	pi
臼	pj
	pj
米	pm
	pm
鼠	ps
	ps
足	pu
⻊	pu
行	px
走	pz
臣	qc
	qc
耳	qe
井	qj
	qj
老	ql
耂	ql
目	qm
	qm
牛	qn
牜	qn
⺧	qn
齐	qq
食	qs
饣	qs
田	qt
非	rf
之	ri
巾	rj
囗（框）	rk
了	rl
皮	rp
七	rq
	rq
	rq
殳	rs
竹	ru
⺮	ru
	ru
瓦	rw
又	ry
ス	ry
屮	sc
	sc
	sc
	sc
	sc
各	sg
止	si
	si
	si
龰	si
甲	sj
力	sl
尚	ss
	ss
龸	ss
言	sy
讠	sy
阝	te
弗	tf
𢎨	tf
𠂔	tf
革	tg
衣	ti
衤	ti
	ti
	ti
	ti
斤	tj
	tj
龙	tl
丿	tp
㇒	tp
疋	ts
𤴓	ts
⺪	ts
三	ts
雨	tv
⻗	tv
用	ty
	ty
白	ub
辶	uc
工	ug
隹	ui
手	us
扌	us
龵	us
	us
	us
	us
	us
廴	uy
匕	vb
	vb
	vb
	vb
已	vi
己	vj
	vj
㐄	vk
	vk
毛	vm
乃	vn
	vn
气	vq
禸	vr
⽱	vr
山	vs
巳	vs
文	vw
西	vx
覀	vx
月	vy
⺝	vy
	vy
	vy
	vy
乍	wa
冫	wb
	wb
⺀	wb
彳	wc
亍	wc
宀	wg
冖	wg
龟	wg
兔	wt
	wt
五	wu
鱼	wv
𩵋	wv
象	wx
页	wy
頁	wy
	wy
	wy
厂	xc
⺁	xc
⺈	xd
	xd
	xd
广	xg
禾	xh
	xh
鹿	xl
鸟	xn
	xn
束	xs
乌	xu
音	xy
爪	ya
爫	ya
卜	yb
⺊	yb
车	yc
	yc
車	yc
瓜	yg
至	yi
曲	yq
四	ys
罒	ys
小	yx
⺌	yx
	yx
𡭔	yx
酉	yy
豆	zd
甘	zg
	zg
虎	zh
虍	zh
金	zj
钅	zj
	zj
卩	zj
ㄗ	zj
⺋	zj
	zj
可	zk
	zk
麻	zm
身	zs
㐆	zs
亠	zt
羽	zv
习	zx
